u,y,fitness,correlation,n,m,k,threshold,theta,fitScale,thrScale,valid
ALARM_PERIOD,OPERATE_PERIOD,0.9579890617387652,0.078,1,1,0,1.2171345782281406,"+0.7258442148975482,+0.0051003829975426,-0.0037052131232062,-0.008572000145984",1.0,1.1,1
C01_MV,FIC101_MV,0.992308389207326,0.9447,2,0,0,0.2108521701763579,"+0.2378916798934014,-0.0974786239644172,+0.8595018891765208,+0.005349590256475",1.0,1.1,1
C02_MV,C01_MV,0.720027273395379,0.3953,0,1,2,8.89173898161995,"+0.3639088397591755,+0.9378224854256578,+22.165137464496993",1.0,1.1,1
C02_MV,C03_MV,0.7278514093425528,0.9545,0,1,0,2.690434733768869,"+0.2587787159507049,+0.3049598151547235,+64.250236078244327",1.0,1.1,1
C02_MV,FIC101_MV,0.7194991046264474,0.9026,0,1,2,8.828180615010755,"+0.3546181236984984,+0.9469383658349646,+22.170054119036272",1.0,1.1,1
C02_MV,FIC101_PV,0.7202365858110487,0.9543,0,1,0,0.1683792341760866,"+0.0156488329304241,+0.0080280030836991,+0.435816521248568",1.0,1.1,1
C02_MV,FIC102_MV,0.9562576245832048,0.9485,0,1,0,1.58192477284359,"+0.7561883853323755,+0.2428080164165722,+0.012759992696993",1.0,1.1,1
C02_MV,FIC103_MV,0.7278982162863081,0.9613,0,1,0,2.6924417494328936,"+0.2544623856513972,+0.3092804332666970,+64.250184579180185",1.0,1.1,1
C02_MV,PIC101_MV,0.7278547671514408,0.4645,0,1,0,2.702490544339195,"+0.2563012819747179,+0.3074470085454215,+64.249915228093854",1.0,1.1,1
C02_MV,QI302_Q,0.7430167144178331,0.9254,0,1,0,0.0976540083574044,"+0.0141747229152936,+0.0085100971691429,-0.033891442038791",1.0,1.1,1
C02_MV,TIC201_MV,0.9000725155835837,0.9376,2,0,0,3.879835456327628,"+1.2894221896402291,-0.3555498244012117,+0.2478716337242453,-1.148461691911167",1.0,1.1,1
C03_MV,C01_MV,0.89861977689248,0.4637,0,1,2,5.415006077799525,"+0.5683960827292747,+1.7345843895849555,-125.723610813143665",1.0,1.1,1
C03_MV,C06_MV,0.7457924425118632,0.9832,2,1,0,1.3764975896164493,"+1.7248548007142488,-0.9021304604725014,+1.2666658136839724,-0.8645491434531363,-21.659995397522870",1.0,1.1,1
C03_MV,FI105_F,0.8350902146240385,0.9175,2,1,0,0.2890828800273887,"+0.4958792489256701,-0.0380638701950410,-1.1774977208989603,+1.1777424912652725,+14.042433415006412",1.0,1.1,1
