line,time,score,numBroken,brokenInvariants,brokenSensors
=>3,274230000.000,0.000000,0,"[]","[]"
=>4,274236000.000,0.000000,0,"[]","[]"
=>5,274242000.000,0.000000,0,"[]","[]"
=>6,274248000.000,0.000000,0,"[]","[]"
=>7,274254000.000,0.000000,0,"[]","[]"
=>8,274260000.000,0.000000,0,"[]","[]"
=>9,274266000.000,0.000000,0,"[]","[]"
=>10,274272000.000,0.000000,0,"[]","[]"
=>11,274278000.000,0.000000,0,"[]","[]"
=>12,274284000.000,0.000000,0,"[]","[]"
=>13,274290000.000,0.000000,0,"[]","[]"
=>14,274296000.000,0.000000,0,"[]","[]"
=>15,274302000.000,0.000000,0,"[]","[]"
=>16,274308000.000,0.000000,0,"[]","[]"
=>17,274314000.000,0.000000,0,"[]","[]"
=>18,274320000.000,0.000000,0,"[]","[]"
=>19,274326000.000,0.000000,0,"[]","[]"
=>20,274332000.000,0.000000,0,"[]","[]"
=>21,274338000.000,0.000000,0,"[]","[]"
=>22,274344000.000,0.000000,0,"[]","[]"
=>23,274350000.000,0.000000,0,"[]","[]"
=>24,274356000.000,0.000000,0,"[]","[]"
=>25,274362000.000,0.000000,0,"[]","[]"
=>26,274368000.000,0.000000,0,"[]","[]"
=>27,274374000.000,0.000000,0,"[]","[]"
=>28,274380000.000,0.000000,0,"[]","[]"
=>29,274386000.000,0.000000,0,"[]","[]"
=>30,274392000.000,0.000000,0,"[]","[]"
=>31,274398000.000,0.000000,0,"[]","[]"
=>32,274404000.000,0.000000,0,"[]","[]"
=>33,274410000.000,0.000000,0,"[]","[]"
=>34,274416000.000,0.000000,0,"[]","[]"
=>35,274422000.000,0.000000,0,"[]","[]"
=>36,274428000.000,0.000000,0,"[]","[]"
=>37,274434000.000,0.000000,0,"[]","[]"
=>38,274440000.000,0.000000,0,"[]","[]"
=>39,274446000.000,0.000000,0,"[]","[]"
=>40,274452000.000,0.000000,0,"[]","[]"
=>41,274458000.000,0.000000,0,"[]","[]"
=>42,274464000.000,0.000000,0,"[]","[]"
=>43,274470000.000,0.000000,0,"[]","[]"
=>44,274476000.000,0.000000,0,"[]","[]"
=>45,274482000.000,0.000000,0,"[]","[]"
=>46,274488000.000,0.000000,0,"[]","[]"
=>47,274494000.000,0.000000,0,"[]","[]"
=>48,274500000.000,0.000000,0,"[]","[]"
=>49,274506000.000,0.000000,0,"[]","[]"
=>50,274512000.000,0.000000,0,"[]","[]"
=>51,274518000.000,0.000000,0,"[]","[]"
=>52,274524000.000,0.000000,0,"[]","[]"
=>53,274530000.000,0.000000,0,"[]","[]"
=>54,274536000.000,0.000000,0,"[]","[]"
=>55,274542000.000,0.000000,0,"[]","[]"
=>56,274548000.000,0.000000,0,"[]","[]"
=>57,274554000.000,0.000000,0,"[]","[]"
=>58,274560000.000,0.000000,0,"[]","[]"
=>59,274566000.000,0.000000,0,"[]","[]"
=>60,274572000.000,0.000000,0,"[]","[]"
=>61,274578000.000,0.000000,0,"[]","[]"
=>62,274584000.000,0.000000,0,"[]","[]"
=>63,274590000.000,0.000000,0,"[]","[]"
=>64,274596000.000,0.000000,0,"[]","[]"
=>65,274602000.000,0.000000,0,"[]","[]"
=>66,274608000.000,0.000000,0,"[]","[]"
=>67,274614000.000,0.000000,0,"[]","[]"
=>68,274620000.000,0.000000,0,"[]","[]"
=>69,274626000.000,0.000000,0,"[]","[]"
=>70,274632000.000,0.000000,0,"[]","[]"
=>71,274638000.000,0.000000,0,"[]","[]"
=>72,274644000.000,0.000000,0,"[]","[]"
=>73,274650000.000,0.000000,0,"[]","[]"
=>74,274656000.000,0.000000,0,"[]","[]"
=>75,274662000.000,0.000000,0,"[]","[]"
=>76,274668000.000,0.000000,0,"[]","[]"
=>77,274674000.000,0.000000,0,"[]","[]"
=>78,274680000.000,0.000000,0,"[]","[]"
=>79,274686000.000,0.000000,0,"[]","[]"
=>80,274692000.000,0.000000,0,"[]","[]"
=>81,274698000.000,0.000000,0,"[]","[]"
=>82,274704000.000,0.000000,0,"[]","[]"
=>83,274710000.000,0.000000,0,"[]","[]"
=>84,274716000.000,0.000000,0,"[]","[]"
=>85,274722000.000,0.000000,0,"[]","[]"
=>86,274728000.000,0.000000,0,"[]","[]"
=>87,274734000.000,0.000000,0,"[]","[]"
=>88,274740000.000,0.000000,0,"[]","[]"
=>89,274746000.000,0.000000,0,"[]","[]"
=>90,274752000.000,0.000000,0,"[]","[]"
=>91,274758000.000,0.000000,0,"[]","[]"
=>92,274764000.000,0.000000,0,"[]","[]"
=>93,274770000.000,0.000000,0,"[]","[]"
=>94,274776000.000,0.000000,0,"[]","[]"
=>95,274782000.000,0.000000,0,"[]","[]"
=>96,274788000.000,0.000000,0,"[]","[]"
=>97,274794000.000,0.000000,0,"[]","[]"
=>98,274800000.000,0.000000,0,"[]","[]"
=>99,274806000.000,0.000000,0,"[]","[]"
=>100,274812000.000,0.000000,0,"[]","[]"
=>101,274818000.000,0.000000,0,"[]","[]"
=>102,274824000.000,0.000000,0,"[]","[]"
=>103,274830000.000,0.000000,0,"[]","[]"
=>104,274836000.000,0.000000,0,"[]","[]"
=>105,274842000.000,0.000000,0,"[]","[]"
=>106,274848000.000,0.000000,0,"[]","[]"
=>107,274854000.000,0.000000,0,"[]","[]"
=>108,274860000.000,0.000000,0,"[]","[]"
=>109,274866000.000,0.000000,0,"[]","[]"
=>110,274872000.000,0.000000,0,"[]","[]"
=>111,274878000.000,0.000000,0,"[]","[]"
=>112,274884000.000,0.000000,0,"[]","[]"
=>113,274890000.000,0.000000,0,"[]","[]"
=>114,274896000.000,0.000000,0,"[]","[]"
=>115,274902000.000,0.000000,0,"[]","[]"
=>116,274908000.000,0.000000,0,"[]","[]"
=>117,274914000.000,0.000000,0,"[]","[]"
=>118,274920000.000,0.000000,0,"[]","[]"
=>119,274926000.000,0.000000,0,"[]","[]"
=>120,274932000.000,0.000000,0,"[]","[]"
=>121,274938000.000,0.000000,0,"[]","[]"
=>122,274944000.000,0.000000,0,"[]","[]"
=>123,274950000.000,0.000000,0,"[]","[]"
=>124,274956000.000,0.000000,0,"[]","[]"
=>125,274962000.000,0.000000,0,"[]","[]"
=>126,274968000.000,0.000000,0,"[]","[]"
=>127,274974000.000,0.000000,0,"[]","[]"
=>128,274980000.000,0.000000,0,"[]","[]"
=>129,274986000.000,0.000000,0,"[]","[]"
=>130,274992000.000,0.000000,0,"[]","[]"
=>131,274998000.000,0.000000,0,"[]","[]"
=>132,275004000.000,0.000000,0,"[]","[]"
=>133,275010000.000,0.000000,0,"[]","[]"
=>134,275016000.000,0.000000,0,"[]","[]"
=>135,275022000.000,0.000000,0,"[]","[]"
=>136,275028000.000,0.000000,0,"[]","[]"
=>137,275034000.000,0.000000,0,"[]","[]"
=>138,275040000.000,0.000000,0,"[]","[]"
=>139,275046000.000,0.000000,0,"[]","[]"
=>140,275052000.000,0.000000,0,"[]","[]"
=>141,275058000.000,0.000000,0,"[]","[]"
=>142,275064000.000,0.000000,0,"[]","[]"
=>143,275070000.000,0.000000,0,"[]","[]"
=>144,275076000.000,0.000000,0,"[]","[]"
=>145,275082000.000,0.000000,0,"[]","[]"
=>146,275088000.000,0.000000,0,"[]","[]"
=>147,275094000.000,0.000000,0,"[]","[]"
=>148,275100000.000,0.000000,0,"[]","[]"
=>149,275106000.000,0.000000,0,"[]","[]"
=>150,275112000.000,0.000000,0,"[]","[]"
=>151,275118000.000,0.000000,0,"[]","[]"
=>152,275124000.000,0.000000,0,"[]","[]"
=>153,275130000.000,0.000000,0,"[]","[]"
=>154,275136000.000,0.000000,0,"[]","[]"
=>155,275142000.000,0.000000,0,"[]","[]"
=>156,275148000.000,0.000000,0,"[]","[]"
=>157,275154000.000,0.000000,0,"[]","[]"
=>158,275160000.000,0.000000,0,"[]","[]"
=>159,275166000.000,0.000000,0,"[]","[]"
=>160,275172000.000,0.000000,0,"[]","[]"
=>161,275178000.000,0.000000,0,"[]","[]"
=>162,275184000.000,0.000000,0,"[]","[]"
=>163,275190000.000,0.000000,0,"[]","[]"
=>164,275196000.000,0.000000,0,"[]","[]"
=>165,275202000.000,0.000000,0,"[]","[]"
=>166,275208000.000,0.000000,0,"[]","[]"
=>167,275214000.000,0.000000,0,"[]","[]"
=>168,275220000.000,0.000000,0,"[]","[]"
=>169,275226000.000,0.000000,0,"[]","[]"
=>170,275232000.000,0.000000,0,"[]","[]"
=>171,275238000.000,0.000000,0,"[]","[]"
=>172,275244000.000,0.000000,0,"[]","[]"
=>173,275250000.000,0.000000,0,"[]","[]"
=>174,275256000.000,0.000000,0,"[]","[]"
=>175,275262000.000,0.000000,0,"[]","[]"
=>176,275268000.000,0.000000,0,"[]","[]"
=>177,275274000.000,0.000000,0,"[]","[]"
=>178,275280000.000,0.000000,0,"[]","[]"
=>179,275286000.000,0.000000,0,"[]","[]"
=>180,275292000.000,0.000000,0,"[]","[]"
=>181,275298000.000,0.000000,0,"[]","[]"
=>182,275304000.000,0.000000,0,"[]","[]"
=>183,275310000.000,0.000000,0,"[]","[]"
=>184,275316000.000,0.000000,0,"[]","[]"
=>185,275322000.000,0.000000,0,"[]","[]"
=>186,275328000.000,0.000000,0,"[]","[]"
=>187,275334000.000,0.000000,0,"[]","[]"
=>188,275340000.000,0.000000,0,"[]","[]"
=>189,275346000.000,0.000000,0,"[]","[]"
=>190,275352000.000,0.000000,0,"[]","[]"
=>191,275358000.000,0.000000,0,"[]","[]"
=>192,275364000.000,0.000000,0,"[]","[]"
=>193,275370000.000,0.000000,0,"[]","[]"
=>194,275376000.000,0.000000,0,"[]","[]"
=>195,275382000.000,0.000000,0,"[]","[]"
=>196,275388000.000,0.000000,0,"[]","[]"
=>197,275394000.000,0.000000,0,"[]","[]"
=>198,275400000.000,0.000000,0,"[]","[]"
=>199,275406000.000,0.000000,0,"[]","[]"
=>200,275412000.000,0.000000,0,"[]","[]"
=>201,275418000.000,0.000000,0,"[]","[]"
=>202,275424000.000,0.000000,0,"[]","[]"
=>203,275430000.000,0.000000,0,"[]","[]"
=>204,275436000.000,0.000000,0,"[]","[]"
=>205,275442000.000,0.000000,0,"[]","[]"
=>206,275448000.000,0.000000,0,"[]","[]"
=>207,275454000.000,0.000000,0,"[]","[]"
=>208,275460000.000,0.000000,0,"[]","[]"
=>209,275466000.000,0.000000,0,"[]","[]"
=>210,275472000.000,0.000000,0,"[]","[]"
=>211,275478000.000,0.000000,0,"[]","[]"
=>212,275484000.000,0.000000,0,"[]","[]"
=>213,275490000.000,0.000000,0,"[]","[]"
=>214,275496000.000,0.000000,0,"[]","[]"
=>215,275502000.000,0.000000,0,"[]","[]"
=>216,275508000.000,0.000000,0,"[]","[]"
=>217,275514000.000,0.000000,0,"[]","[]"
=>218,275520000.000,0.000000,0,"[]","[]"
=>219,275526000.000,0.000000,0,"[]","[]"
=>220,275532000.000,0.000000,0,"[]","[]"
=>221,275538000.000,0.000000,0,"[]","[]"
=>222,275544000.000,0.000000,0,"[]","[]"
=>223,275550000.000,0.000000,0,"[]","[]"
=>224,275556000.000,0.000000,0,"[]","[]"
=>225,275562000.000,0.000000,0,"[]","[]"
=>226,275568000.000,0.000000,0,"[]","[]"
=>227,275574000.000,0.000000,0,"[]","[]"
=>228,275580000.000,0.000000,0,"[]","[]"
=>229,275586000.000,0.000000,0,"[]","[]"
=>230,275592000.000,0.000000,0,"[]","[]"
=>231,275598000.000,0.000000,0,"[]","[]"
=>232,275604000.000,0.000000,0,"[]","[]"
=>233,275610000.000,0.000000,0,"[]","[]"
=>234,275616000.000,0.000000,0,"[]","[]"
=>235,275622000.000,0.000000,0,"[]","[]"
=>236,275628000.000,0.000000,0,"[]","[]"
=>237,275634000.000,0.000000,0,"[]","[]"
=>238,275640000.000,0.000000,0,"[]","[]"
=>239,275646000.000,0.000000,0,"[]","[]"
=>240,275652000.000,0.000000,0,"[]","[]"
=>241,275658000.000,0.000000,0,"[]","[]"
=>242,275664000.000,0.000000,0,"[]","[]"
=>243,275670000.000,0.000000,0,"[]","[]"
=>244,275676000.000,0.000000,0,"[]","[]"
=>245,275682000.000,0.000000,0,"[]","[]"
=>246,275688000.000,0.000000,0,"[]","[]"
=>247,275694000.000,0.000000,0,"[]","[]"
=>248,275700000.000,0.000000,0,"[]","[]"
=>249,275706000.000,0.000000,0,"[]","[]"
=>250,275712000.000,0.000000,0,"[]","[]"
=>251,275718000.000,0.000000,0,"[]","[]"
=>252,275724000.000,0.000000,0,"[]","[]"
=>253,275730000.000,0.000000,0,"[]","[]"
=>254,275736000.000,0.000000,0,"[]","[]"
=>255,275742000.000,0.000000,0,"[]","[]"
=>256,275748000.000,0.000000,0,"[]","[]"
=>257,275754000.000,0.000000,0,"[]","[]"
=>258,275760000.000,0.000000,0,"[]","[]"
=>259,275766000.000,0.000000,0,"[]","[]"
=>260,275772000.000,0.000000,0,"[]","[]"
=>261,275778000.000,0.000000,0,"[]","[]"
=>262,275784000.000,0.000000,0,"[]","[]"
=>263,275790000.000,0.000000,0,"[]","[]"
=>264,275796000.000,0.000000,0,"[]","[]"
=>265,275802000.000,0.000000,0,"[]","[]"
=>266,275808000.000,0.000000,0,"[]","[]"
=>267,275814000.000,0.000000,0,"[]","[]"
=>268,275820000.000,0.000000,0,"[]","[]"
=>269,275826000.000,0.000000,0,"[]","[]"
=>270,275832000.000,0.000000,0,"[]","[]"
=>271,275838000.000,0.000000,0,"[]","[]"
=>272,275844000.000,0.000000,0,"[]","[]"
=>273,275850000.000,0.000000,0,"[]","[]"
=>274,275856000.000,0.000000,0,"[]","[]"
=>275,275862000.000,0.000000,0,"[]","[]"
=>276,275868000.000,0.000000,0,"[]","[]"
=>277,275874000.000,0.000000,0,"[]","[]"
=>278,275880000.000,0.000000,0,"[]","[]"
=>279,275886000.000,0.000000,0,"[]","[]"
=>280,275892000.000,0.000000,0,"[]","[]"
=>281,275898000.000,0.000000,0,"[]","[]"
=>282,275904000.000,0.000000,0,"[]","[]"
=>283,275910000.000,0.000000,0,"[]","[]"
=>284,275916000.000,0.000000,0,"[]","[]"
=>285,275922000.000,0.000000,0,"[]","[]"
=>286,275928000.000,0.000000,0,"[]","[]"
=>287,275934000.000,0.000000,0,"[]","[]"
=>288,275940000.000,0.000000,0,"[]","[]"
=>289,275946000.000,0.000000,0,"[]","[]"
=>290,275952000.000,0.000000,0,"[]","[]"
=>291,275958000.000,0.000000,0,"[]","[]"
=>292,275964000.000,0.000000,0,"[]","[]"
=>293,275970000.000,0.000000,0,"[]","[]"
=>294,275976000.000,0.000000,0,"[]","[]"
=>295,275982000.000,0.000000,0,"[]","[]"
=>296,275988000.000,0.000000,0,"[]","[]"
=>297,275994000.000,0.000000,0,"[]","[]"
=>298,276000000.000,0.000000,0,"[]","[]"
=>299,276006000.000,0.000000,0,"[]","[]"
=>300,276012000.000,0.000000,0,"[]","[]"
=>301,276018000.000,0.000000,0,"[]","[]"
=>302,276024000.000,0.000000,0,"[]","[]"
=>303,276030000.000,0.000000,0,"[]","[]"
